File Name,File Version,Update Date,Week Ending Date,Formatted Date,SSA Month,SSA Weeks in Month,SSA Quarter Date,Fiscal Year,Fiscal Quarter Number,Fiscal Week,Calendar Year,Calendar Quarter Number,Calendar Quarter Date,Notes,,Fiscal Quarter Number,
SSA-DATES1.csv,1,6/1/2010,2/15/2002,2/15/2002,2002-02,4,2002-03,2002,2002-2,20,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,2/22/2002,2/22/2002,2002-02,4,2002-03,2002,2002-2,21,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,3/1/2002,3/1/2002,2002-03,5,2002-03,2002,2002-2,22,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,3/8/2002,3/8/2002,2002-03,5,2002-03,2002,2002-2,23,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,3/15/2002,3/15/2002,2002-03,5,2002-03,2002,2002-2,24,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,3/22/2002,3/22/2002,2002-03,5,2002-03,2002,2002-2,25,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,3/29/2002,3/29/2002,2002-03,5,2002-03,2002,2002-2,26,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,4/5/2002,4/5/2002,2002-04,4,2002-06,2002,2002-3,27,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,4/12/2002,4/12/2002,2002-04,4,2002-06,2002,2002-3,28,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,4/19/2002,4/19/2002,2002-04,4,2002-06,2002,2002-3,29,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,4/26/2002,4/26/2002,2002-04,4,2002-06,2002,2002-3,30,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,5/3/2002,5/3/2002,2002-05,5,2002-06,2002,2002-3,31,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,5/10/2002,5/10/2002,2002-05,5,2002-06,2002,2002-3,32,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,5/17/2002,5/17/2002,2002-05,5,2002-06,2002,2002-3,33,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,5/24/2002,5/24/2002,2002-05,5,2002-06,2002,2002-3,34,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,5/31/2002,5/31/2002,2002-05,5,2002-06,2002,2002-3,35,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,6/7/2002,6/7/2002,2002-06,4,2002-06,2002,2002-3,36,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,6/14/2002,6/14/2002,2002-06,4,2002-06,2002,2002-3,37,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,6/21/2002,6/21/2002,2002-06,4,2002-06,2002,2002-3,38,2002,2002-2,2002-06,,,2002,3
