date_yearmon,SSDI,SSI,Concurrent,State,year,month
Feb 2004,71407.46205357122,84842.35714285738,65514.544642856934,NW,2004,2
Mar 2004,76326.37946428564,90275.45089285693,69268.1406249997,NW,2004,3
Apr 2004,77426.04285714307,93745.76071428547,72730.84107142888,NW,2004,4
May 2004,76367.68750000007,94227.54285714298,72412.98660714299,NW,2004,5
Jun 2004,74038.15025460003,90487.8424281144,71107.12140670497,NW,2004,6
Jul 2004,71177.65892857159,86795.57499999968,69550.5571428571,NW,2004,7
Aug 2004,75143.66517857167,90251.53571428604,72927.16294642843,NW,2004,8
Sep 2004,69190.95982142874,83565.06919642889,68368.0602678568,NW,2004,9
Oct 2004,69569.68928571393,86449.45714285727,67740.83035714255,NW,2004,10
Nov 2004,61741.381696428696,74883.859375,58601.9709821429,NW,2004,11
Dec 2004,65328.658482142666,81736.6450892857,62726.25223214325,NW,2004,12
Jan 2005,60244.50892857114,75069.31071428569,59043.53214285738,NW,2005,1
Feb 2005,69875.80357142864,83458.53794642822,65372.14062499978,NW,2005,2
Mar 2005,71353.10937499991,85317.39955357152,67594.07812500001,NW,2005,3
Apr 2005,71714.22857142857,88615.73749999976,69541.86071428546,NW,2005,4
May 2005,71590.087053572,89719.96651785637,70470.42187500055,NW,2005,5
Jun 2005,66660.2991071427,82014.93080357126,64730.77901785716,NW,2005,6
Jul 2005,64987.54107142832,80771.5589285714,65409.317857142494,NW,2005,7
Aug 2005,68790.92410714302,87225.17857142909,71165.0491071427,NW,2005,8
Sep 2005,61322.866071428594,77651.49776785706,62378.39508928569,NW,2005,9
Oct 2005,64865.57366071412,83608.5513392855,65986.3258928567,NW,2005,10
Nov 2005,57933.433035714166,73715.27678571423,57800.81250000014,NW,2005,11
Dec 2005,59548.79464285691,74869.29285714291,59287.032142856835,NW,2005,12
Jan 2006,57117.0558035714,72345.58928571417,56350.68303571432,NW,2006,1
Feb 2006,65580.85491071404,79737.55357142855,62130.54687500002,NW,2006,2
Mar 2006,71316.80178571476,89129.69642857104,69283.5767857142,NW,2006,3
Apr 2006,70292.14508928568,88052.42633928549,70162.7857142862,NW,2006,4
May 2006,70496.6198660716,88178.74196428558,70286.16629464312,NW,2006,5
Jun 2006,67448.63035714242,83604.85535714317,67407.75714285718,NW,2006,6
Jul 2006,64863.39955357138,79563.62499999994,64916.66517857155,NW,2006,7
Aug 2006,70330.19196428539,87414.32589285742,72491.25446428602,NW,2006,8
